iter	Passed	Remaining
401	20474	30457
402	20525	30406
403	20575	30353
404	20631	30310
405	20680	30256
406	20748	30230
407	20806	30190
408	20868	30154
409	20923	30109
410	20970	30052
411	21018	29997
412	21065	29941
413	21122	29898
414	21169	29840
415	21218	29787
416	21269	29737
417	21314	29677
418	21376	29641
419	21428	29591
420	21492	29558
421	21550	29516
422	21608	29475
423	21656	29419
424	21704	29364
425	21775	29340
426	21830	29295
427	21885	29248
428	21934	29195
429	21976	29131
430	22025	29077
431	22064	29011
432	22128	28975
433	22188	28937
434	22237	28883
435	22284	28826
436	22329	28768
437	22381	28717
438	22428	28662
439	22480	28611
440	22529	28557
441	22586	28513
442	22627	28450
443	22668	28386
444	22711	28325
445	22764	28276
446	22818	28229
447	22885	28198
448	22953	28167
449	22994	28104
450	23046	28054
451	23101	28008
452	23170	27978
453	23226	27933
454	23273	27876
455	23327	27829
456	23377	27776
457	23431	27729
458	23480	27675
459	23538	27632
460	23587	27578
461	23641	27531
462	23703	27492
463	23753	27438
464	23804	27388
465	23848	27328
466	23886	27262
467	23935	27208
468	23998	27170
469	24064	27136
470	24119	27090
471	24164	27031
472	24226	26992
473	24283	26947
474	24337	26899
475	24389	26848
476	24447	26805
477	24508	26764
478	24568	26722
479	24636	26689
480	24669	26618
481	24711	26557
482	24748	26490
483	24814	26454
484	24877	26416
485	25078	26523
486	25129	26471
487	25181	26420
488	25226	26361
489	25273	26305
490	25336	26265
491	25405	26231
492	25469	26192
493	25524	26144
494	25577	26094
495	25629	26042
496	25679	25989
497	25754	25961
498	25818	25921
499	25868	25868
500	25922	25818
501	25973	25766
502	26020	25709
503	26075	25661
504	26127	25609
505	26194	25573
506	26264	25539
507	26313	25484
508	26378	25445
509	26437	25400
510	26493	25352
511	26564	25319
512	26630	25280
513	26677	25224
514	26724	25167
515	26774	25113
516	26828	25063
517	26872	25005
518	26927	24956
519	26966	24891
520	27034	24854
521	27088	24804
522	27141	24754
523	27183	24693
524	27225	24632
525	27272	24576
526	27329	24528
527	27387	24483
528	27429	24421
529	27477	24366
530	27527	24313
531	27573	24256
532	27639	24217
533	27687	24162
534	27738	24109
535	27799	24065
536	27845	24008
537	27898	23957
538	27950	23905
539	28009	23859
540	28067	23812
541	28128	23769
542	28180	23717
543	28238	23670
544	28280	23610
545	28321	23549
546	28378	23502
547	28421	23442
548	28475	23392
549	28519	23334
550	28568	23279
551	28627	23233
552	28687	23188
553	28725	23125
554	28769	23067
555	28814	23010
556	28865	22957
557	28916	22905
558	28981	22863
559	29030	22809
560	29090	22764
561	29142	22712
562	29203	22667
563	29268	22626
564	29318	22572
565	29364	22516
566	29412	22461
567	29455	22402
568	29516	22357
569	29571	22308
570	29622	22255
571	29677	22206
572	29726	22152
573	29770	22094
574	29817	22038
575	29874	21991
576	29922	21936
577	29970	21881
578	30038	21841
579	30116	21808
580	30192	21773
581	30247	21724
582	30291	21666
583	30353	21621
584	30395	21562
585	30449	21512
586	30497	21457
587	30555	21409
588	30603	21354
589	30648	21298
590	30698	21244
591	30743	21188
592	30807	21144
593	30852	21087
594	30928	21052
595	30990	21007
596	31060	20967
597	31116	20917
598	31169	20866
599	31226	20817
600	31289	20772
601	31348	20725
602	31407	20678
603	31473	20635
604	31542	20593
605	31598	20544
606	31649	20491
607	31702	20439
608	31761	20392
609	31818	20343
610	31864	20287
611	31935	20246
612	31996	20200
613	32043	20144
614	32091	20089
615	32168	20053
616	32227	20005
617	32276	19950
618	32318	19892
619	32393	19854
620	32460	19811
621	32528	19768
622	32595	19724
623	32647	19672
624	32713	19628
625	32763	19574
626	32815	19522
627	32878	19475
628	32930	19423
629	32968	19362
630	33025	19312
631	33063	19252
632	33122	19203
633	33170	19148
634	33219	19094
635	33289	19052
636	33348	19003
637	33397	18949
638	33458	18902
639	33499	18843
640	33560	18796
641	33620	18747
642	33670	18694
643	33723	18642
644	33765	18584
645	33816	18530
646	33859	18473
647	33915	18423
648	33955	18364
649	34006	18311
650	34057	18258
651	34102	18201
652	34147	18146
653	34206	18096
654	34265	18048
655	34309	17991
656	34377	17947
657	34431	17896
658	34495	17849
659	34550	17798
660	34616	17753
661	34674	17704
662	34727	17651
663	34765	17592
664	34834	17548
665	34887	17496
666	34933	17440
667	35004	17397
668	35068	17351
669	35124	17300
670	35180	17249
671	35241	17200
672	35285	17144
673	35332	17089
674	35398	17043
675	35452	16992
676	35508	16941
677	35571	16893
678	35650	16853
679	35702	16801
680	35767	16754
681	35841	16712
682	35896	16660
683	35952	16609
684	36005	16557
685	36054	16503
686	36105	16450
687	36147	16392
688	36211	16345
689	36250	16286
690	36324	16243
691	36375	16190
692	36422	16135
693	36490	16089
694	36537	16034
695	36585	15979
696	36635	15926
697	36685	15872
698	36738	15820
699	36790	15767
700	36862	15723
701	36921	15673
702	36967	15617
703	37021	15565
704	37070	15511
705	37116	15456
706	37167	15403
