iter	Passed	Remaining
400	18330	27381
401	18371	27329
402	18417	27283
403	18471	27250
404	18509	27193
405	18561	27156
406	18596	27095
407	18638	27043
408	18677	26988
409	18728	26950
410	18762	26887
411	18813	26850
412	18848	26789
413	18885	26731
414	18919	26669
415	18961	26618
416	18991	26552
417	19026	26490
418	19064	26434
419	19107	26386
420	19146	26332
421	19187	26280
422	19221	26219
423	19254	26156
424	19298	26109
425	19340	26059
426	19388	26017
427	19429	25966
428	19464	25907
429	19508	25859
430	19550	25809
431	19586	25752
432	19621	25693
433	19666	25648
434	19701	25589
435	19743	25539
436	19778	25481
437	19810	25418
438	19845	25360
439	19887	25311
440	19933	25267
441	19969	25210
442	20005	25153
443	20037	25092
444	20078	25041
445	20125	24999
446	20163	24944
447	20197	24886
448	20240	24838
449	20272	24777
450	20315	24730
451	20353	24676
452	20403	24637
453	20449	24593
454	20508	24565
455	20540	24504
456	20584	24457
457	20622	24405
458	20665	24356
459	20708	24309
460	20769	24284
461	20814	24237
462	20874	24211
463	20925	24172
464	20969	24126
465	21013	24080
466	21049	24024
467	21094	23979
468	21135	23929
469	21173	23876
470	21215	23828
471	21261	23783
472	21302	23734
473	21340	23681
474	21377	23627
475	21419	23579
476	21457	23527
477	21507	23487
478	21543	23432
479	21586	23385
480	21621	23329
481	21660	23277
482	21692	23219
483	21732	23169
484	21766	23112
485	21801	23057
486	21845	23011
487	21880	22956
488	21924	22911
489	21962	22859
490	22010	22817
491	22045	22761
492	22076	22703
493	22127	22664
494	22162	22610
495	22196	22554
496	22234	22503
497	22274	22453
498	22318	22407
499	22365	22365
500	22404	22315
501	22449	22270
502	22502	22234
503	22547	22189
504	22584	22137
505	22627	22091
506	22666	22040
507	22702	21987
508	22741	21937
509	22776	21883
510	22816	21833
511	22857	21786
512	22906	21745
513	22948	21697
514	22986	21647
515	23019	21592
516	23055	21539
517	23093	21488
518	23132	21438
519	23162	21380
520	23203	21332
521	23248	21288
522	23291	21242
523	23332	21195
524	23363	21138
525	23405	21091
526	23441	21039
527	23478	20988
528	23508	20930
529	23541	20876
530	23574	20821
531	23607	20767
532	23647	20719
533	23685	20669
534	23723	20619
535	23764	20572
536	23800	20520
537	23833	20466
538	23869	20415
539	23906	20364
540	23957	20326
541	24006	20286
542	24050	20241
543	24087	20191
544	24128	20143
545	24179	20105
546	24216	20055
547	24259	20009
548	24296	19959
549	24343	19917
550	24388	19874
551	24432	19828
552	24473	19782
553	24523	19743
554	24565	19696
555	24598	19643
556	24653	19607
557	24686	19554
558	24718	19501
559	24755	19451
560	24794	19402
561	24836	19356
562	24879	19311
563	24914	19260
564	24957	19214
565	24998	19168
566	25037	19120
567	25072	19069
568	25105	19016
569	25142	18966
570	25178	18916
571	25223	18873
572	25268	18829
573	25309	18783
574	25349	18736
575	25386	18687
576	25429	18642
577	25463	18590
578	25511	18549
579	25562	18510
580	25613	18471
581	25660	18429
582	25699	18381
583	25746	18339
584	25790	18295
585	25827	18246
586	25880	18209
587	25926	18166
588	25959	18114
589	26005	18071
590	26041	18021
591	26090	17981
592	26146	17945
593	26186	17898
594	26222	17848
595	26257	17798
596	26306	17757
597	26343	17709
598	26379	17659
599	26417	17611
600	26460	17566
601	26500	17520
602	26541	17474
603	26580	17427
604	26622	17381
605	26659	17332
606	26699	17286
607	26749	17246
608	26793	17202
609	26831	17154
610	26867	17105
611	26906	17058
612	26942	17009
613	26978	16960
614	27021	16915
615	27068	16874
616	27111	16829
617	27152	16783
618	27185	16733
619	27228	16688
620	27272	16644
621	27321	16603
622	27354	16553
623	27397	16508
624	27441	16464
625	27485	16421
626	27526	16375
627	27565	16328
628	27608	16284
629	27644	16235
630	27685	16190
631	27727	16144
632	27766	16098
633	27800	16048
634	27844	16005
635	27881	15957
636	27918	15909
637	27955	15861
638	27998	15817
639	28038	15771
640	28086	15730
641	28140	15692
642	28182	15647
643	28230	15605
644	28274	15561
645	28314	15516
646	28345	15465
647	28392	15422
648	28430	15375
649	28460	15324
650	28493	15275
651	28529	15227
652	28562	15177
653	28597	15129
654	28629	15079
655	28671	15034
656	28714	14990
657	28751	14943
658	28802	14903
659	28842	14858
660	28885	14814
661	28928	14769
662	28970	14725
663	29003	14676
664	29039	14628
665	29072	14579
666	29118	14537
667	29177	14501
668	29218	14456
669	29264	14413
670	29302	14367
671	29355	14328
672	29410	14289
673	29455	14247
674	29500	14204
675	29548	14162
676	29592	14118
677	29639	14076
678	29697	14039
679	29753	14001
680	29798	13958
681	29848	13917
682	29898	13876
683	29941	13832
684	29985	13788
685	30033	13746
686	30070	13700
687	30105	13652
688	30156	13611
689	30207	13571
690	30252	13528
691	30293	13483
692	30331	13437
693	30381	13396
694	30422	13350
695	30466	13307
696	30503	13260
697	30538	13213
698	30579	13168
699	30618	13122
700	30666	13080
701	30712	13037
702	30762	12996
703	30812	12955
704	30847	12907
705	30896	12866
706	30931	12818
707	30966	12771
708	31008	12727
709	31049	12682
710	31085	12635
711	31134	12593
712	31171	12547
713	31214	12503
714	31252	12457
715	31299	12414
716	31345	12372
717	31392	12329
718	31431	12284
719	31466	12236
720	31515	12195
721	31563	12153
722	31596	12105
723	31640	12061
724	31688	12019
725	31727	11974
726	31771	11930
727	31812	11886
728	31848	11839
729	31907	11801
730	31958	11760
731	31991	11712
732	32035	11669
733	32078	11625
734	32127	11583
735	32175	11541
736	32222	11498
737	32260	11452
738	32296	11406
739	32333	11360
740	32377	11316
741	32419	11272
742	32458	11227
743	32506	11184
744	32551	11141
745	32596	11098
746	32638	11054
747	32697	11015
748	32739	10971
749	32787	10929
750	32833	10886
751	32865	10838
752	32905	10793
753	32942	10747
754	32983	10703
755	33023	10658
756	33065	10614
757	33110	10570
758	33168	10531
759	33212	10488
760	33252	10443
761	33294	10399
762	33341	10356
763	33390	10314
764	33447	10274
765	33482	10228
766	33520	10182
767	33558	10137
768	33595	10091
769	33623	10043
770	33672	10001
771	33706	9954
772	33742	9908
773	33779	9863
774	33826	9820
775	33873	9777
776	33903	9730
777	33936	9683
778	33971	9637
779	34013	9593
780	34060	9550
781	34108	9508
782	34150	9464
783	34187	9418
784	34231	9375
785	34271	9330
786	34308	9285
787	34338	9238
788	34371	9191
789	34417	9149
790	34456	9104
791	34490	9058
792	34533	9014
793	34578	8971
794	34616	8926
795	34654	8881
796	34690	8835
797	34731	8791
798	34770	8747
799	34821	8705
800	34871	8663
801	34929	8623
802	34973	8580
803	35015	8536
804	35056	8492
805	35106	8449
806	35149	8406
807	35185	8360
808	35231	8317
809	35270	8273
810	35304	8227
811	35344	8183
812	35379	8137
813	35417	8092
814	35454	8048
815	35493	8003
816	35525	7957
817	35564	7912
818	35606	7869
819	35646	7824
820	35682	7779
821	35728	7736
822	35770	7693
823	35832	7653
824	35880	7610
825	35927	7568
826	35970	7524
827	36014	7481
828	36056	7437
829	36106	7395
830	36151	7352
831	36190	7307
832	36246	7266
833	36294	7224
834	36329	7178
835	36367	7134
836	36415	7091
837	36446	7045
838	36486	7001
839	36532	6958
840	36572	6914
841	36608	6869
842	36644	6824
843	36675	6778
844	36715	6734
845	36753	6690
846	36800	6647
847	36835	6602
848	36873	6558
849	36911	6513
850	36955	6470
851	36994	6426
852	37041	6383
853	37077	6338
854	37115	6294
855	37160	6251
856	37190	6205
857	37236	6162
858	37286	6120
859	37332	6077
860	37391	6036
861	37433	5992
862	37475	5949
863	37517	5905
864	37567	5863
865	37613	5820
866	37669	5778
867	37716	5735
868	37749	5690
869	37790	5646
870	37841	5604
871	37876	5559
872	37916	5515
873	37969	5473
874	38008	5429
875	38049	5386
876	38082	5341
877	38122	5297
878	38162	5253
879	38199	5209
880	38244	5165
881	38292	5123
882	38338	5079
883	38383	5036
884	38424	4993
885	38469	4949
886	38506	4905
887	38545	4861
888	38598	4819
889	38642	4776
890	38692	4733
891	38732	4689
892	38767	4645
893	38806	4601
894	38848	4557
895	38892	4514
896	38930	4470
897	38971	4426
898	39013	4382
899	39056	4339
900	39094	4295
901	39150	4253
902	39189	4209
903	39223	4165
904	39263	4121
905	39303	4077
906	39340	4033
907	39378	3989
908	39412	3945
909	39456	3902
910	39492	3858
911	39537	3814
912	39575	3771
913	39619	3727
914	39666	3684
915	39710	3641
916	39763	3599
917	39802	3555
918	39837	3511
919	39901	3469
920	39951	3426
921	39996	3383
922	40042	3340
923	40094	3297
924	40134	3254
925	40185	3211
926	40219	3167
927	40252	3123
928	40293	3079
929	40337	3036
930	40394	2993
931	40436	2950
932	40477	2906
933	40530	2864
934	40566	2820
935	40615	2777
936	40650	2733
937	40694	2689
938	40731	2646
939	40775	2602
940	40823	2559
941	40866	2516
942	40918	2473
943	40962	2430
944	41003	2386
945	41044	2342
946	41088	2299
947	41132	2256
948	41170	2212
949	41214	2169
950	41274	2126
951	41315	2083
952	41349	2039
953	41387	1995
954	41426	1952
955	41458	1908
956	41498	1864
957	41545	1821
958	41582	1777
959	41622	1734
960	41667	1690
961	41702	1647
962	41741	1603
963	41772	1559
964	41807	1516
965	41841	1472
966	41887	1429
967	41937	1386
968	41981	1343
969	42034	1300
970	42089	1257
971	42127	1213
972	42169	1170
973	42215	1126
974	42255	1083
975	42292	1039
976	42326	996
977	42359	952
978	42395	909
979	42430	865
980	42472	822
981	42515	779
982	42565	736
983	42601	692
984	42655	649
985	42697	606
986	42740	562
987	42780	519
988	42817	476
989	42861	432
990	42912	389
991	42951	346
992	42991	303
993	43043	259
994	43092	216
995	43128	173
996	43180	129
997	43223	86
998	43255	43
999	43298	0
